name,, Buy&hold(test) ,, test ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
헬릭스미스,,"6,371,358",,"9,143,190",,
메지온,,"7,584,720",,"9,049,369",,
,,,,,,
,,,,,,
녹십자홀딩스,,"14,123,555",,"17,152,879",,
동국제약,,"10,163,136",,"11,241,903",,
,,,,,,
영진약품,,"11,096,458",,"13,049,886",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
JW중외제약,,"8,998,978",,"9,301,659",,
,,,,,,
종근당홀딩스,,"8,481,543",,"9,427,541",,
,,,,,,
,,,,,,
앱클론,,"6,135,963",,"9,504,394",,
,,,,,,
에이프로젠제약,,"7,103,655",,"8,806,202",,
,,,,,,
,,,,,,
,,,,,,
수젠텍,,"6,274,696",,"11,789,124",,
,,,,,,
,,,,,,
테라젠이텍스,,"8,422,128",,"10,594,772",,
한독,,"8,789,201",,"9,679,855",,
,,,,,,
대원제약,,"9,825,722",,"12,755,971",,
유비케어,,"7,571,778",,"8,849,946",,
,,,,,,
,,,,,,
지노믹트리,,"8,002,614",,"8,019,658",,
,,,,,,
휴마시스,,"9,891,693",,"10,627,958",,
,,,,,,
,,,,,,
,,,,,,
종근당,,"10,954,970",,"11,514,089",,
,,,,,,
일양약품,,"5,537,375",,"8,547,047",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
삼성제약,,"22,796,792",,"23,646,243",,
,,,,,,
부광약품,,"6,392,864",,"8,533,050",,
,,,,,,
,,,,,,
국제약품,,"9,495,539",,"9,946,022",,
,,,,,,
고려제약,,"9,757,921",,"10,000,000",,
경보제약,,"13,817,607",,"9,843,166",,
메디톡스,,"10,332,665",,"7,781,321",,
아미코젠,,"11,388,906",,"10,675,926",,
인트론바이오,,"14,928,978",,"12,563,419",,
알테오젠,,"7,653,648",,"5,765,213",,
한미사이언스,,"19,841,315",,"11,313,786",,
바이오니아,,"13,818,625",,"8,496,292",,
레고켐바이오,,"10,624,734",,"10,734,077",,
셀트리온,,"8,404,824",,"10,109,990",,
셀트리온헬스케어,,"11,241,845",,"9,446,209",,
안트로젠,,"11,430,553",,"7,801,713",,
유바이오로직스,,"49,572,522",,"9,115,932",,
보령제약,,"16,740,898",,"9,959,707",,
파마리서치,,"16,584,664",,"10,163,709",,
엔지켐생명과학,,"9,203,630",,"6,621,065",,
KPX생명과학,,"14,931,349",,"16,562,202",,
에스티팜,,"21,801,894",,"10,042,854",,
휴온스,,"11,483,050",,"10,744,700",,
한미약품,,"13,620,398",,"7,941,488",,
한올바이오파마,,"8,008,137",,"12,044,451",,
지트리비앤티,,"4,305,945",,"9,817,390",,
녹십자랩셀,,"18,232,218",,"8,053,798",,
올릭스,,"18,453,066",,"11,271,703",,
크리스탈지노믹스,,"9,531,414",,"4,095,811",,
휴젤,,"13,010,062",,"10,122,318",,
셀리버리,,"19,192,113",,"8,587,411",,
이수앱지스,,"23,347,162",,"14,121,057",,
바이넥스,,"14,044,892",,"9,499,018",,
휴메딕스,,"13,089,166",,"9,218,383",,
휴온스글로벌,,"20,182,131",,"9,649,218",,
,,"13,000,791",,"9,696,948",,
